District,Variety_Sampled,Age,Field_size(MSquared),Neighbor_ fields,lat,lon,Altitude,CBSD_Severity,CBSD_Incidence,CMD_Incidence,Adult_Population,Mean_adult_whitefly_per_Plant
Luwero,Local,4,400,4,0.67483,32.61265,1138,2,10,0,110,3.7
Luwero,Nase 3,4,3000,3,0.80637,32.5055,1110,0,0,20,52,1.7
Luwero,Local,4,1200,3,0.8063,32.50607,1102,0,0,26.7,86,2.9
Luwero,Njule Red,3,1500,2,0.74105,32.51932,1148,2,3.3,3.3,19,0.6
Luwero,Nase 14,3,200,2,0.73088,32.52775,1149,2,26.7,0,97,3.2
Luwero,Local,4,600,2,0.75732,32.56407,1136,0,0,0,68,2.3
Luwero,TME 14,3,800,2,0.70777,32.56337,1186,2.3,60,0,111,3.7
Luwero,TME 14,4,2400,2,0.66974,32.62258,1119,2,90,0,232,7.7
Luwero,TME 14,4,800,4,0.66737,32.65886,1145,2.4,100,0,44,1.5
Luwero,Local,12,5500,4,0.68961,32.71193,1108,2,16.7,0,231,7.7
Luwero,Local,4,2400,3,0.74148,32.74244,1075,2,46.7,100,539,18
Nakaseke,Local,4,200,2,0.8507,32.4192,1078,2.2,73.3,16.7,141,4.7
Nakaseke,TME 14,14,1200,4,0.849,32.35985,1110,2.1,100,0,336,11.2
Nakaseke,TME 14,3,200,2,0.89522,32.35873,1093,2,96.7,0,188,6.3
Nakaseke,TME 14,4,12000,4,0.95543,32.31964,1074,2.1,100,0,225,7.5
Nakaseke,TME 14,3,4000,1,0.93157,32.35504,1094,2.1,100,0,203,6.8
Nakaseke,TME 14,4,600,1,0.92106,32.29009,1083,2,100,0,73,2.4
Nakaseke,TME 14,3,2600,2,0.82729,32.25677,1075,2,100,0,162,5.4
Nakaseke,Local,4,9000,0,0.89272,32.23424,1087,2,76.7,0,452,15.1
Nakaseke,Local,3,1100,4,0.86232,32.21737,1097,2.3,100,0,1257,41.9
Nakaseke,TME 14,4,10000,1,0.85293,32.31178,1118,2.3,100,0,80,2.7
Nakaseke,Local,3,16000,2,0.72283,32.48629,1154,2,40,0,122,4.1
Nakaseke,TME 14,4,18000,2,0.73885,32.43476,1141,2,100,0,305,10.2
Nakaseke,TME 14,3,10000,4,0.58195,32.39666,1147,2.2,100,0,545,18.2
Nakaseke,Nase 14,4,15000,5,0.71354,32.37846,1123,2,23.3,0,284,9.5
Nakaseke,TME 14,3,8000,2,0.70015,32.31985,1154,2,90,0,195,6.5
Nakaseke,TME 14,3,36000,2,0.69285,32.27119,1152,2,93.3,0,187,6.2
Nakaseke,TME 14,4,6500,0,0.65741,32.25031,1118,2,30,0,227,7.6
Nakaseke,Local,3,1300,2,0.60541,32.25696,1106,0,0,6.7,244,8.1
Nakaseke,Nase 14,3,2400,3,0.61033,32.29961,1133,0,0,0,139,4.6
Nakaseke,TME 14,4,4500,4,0.61434,32.34381,1161,2,30,0,80,2.7
Kayunga,TME 14,3,4640,3,0.67861,32.88251,1070,2.4,96.7,0,53,1.8
Kayunga,TME 14,4,28000,2,0.69168,32.91699,1071,2.5,100,0,36,1.2
Kayunga,Local,3,2100,4,0.67431,32.92885,1094,2.3,73.3,16.7,36,1.2
Kayunga,Local,4,32200,2,0.64564,32.94538,1081,2,90,0,91,3
Kayunga,TME 14,3,3600,2,0.60496,32.97801,1106,2,80,0,92,3.1
Kayunga,TME 14,2,5000,2,0.59895,33.0104,1099,2,60,0,444,14.8
Kayunga,TME 14,4,12000,2,0.58453,33.00998,1108,2.2,100,0,922,30.7
Kayunga,TME 14,3,30000,5,0.54882,33.04049,1139,2,100,0,186,6.2
Kayunga,Local,4,10000,3,0.52902,33.04758,1142,2.2,36.7,33.3,16,0.5
Kayunga,TME 14,4,1000,3,0.54746,33.05634,1109,2.2,83.3,0,199,6.6
Kayunga,Local,3,4000,2,0.76767,32.88736,1075,2,100,0,83,2.8
Kayunga,TME 14,4,60000,4,0.80782,32.86468,1061,2,100,0,21,0.7
Kayunga,Nase 3,4,750,2,0.82999,32.83661,1074,0,0,30,115,3.8
Kayunga,Local,4,7200,3,0.95348,32.89017,1081,2,96.7,63.3,15,0.5
Kayunga,Nase 3,3,1404,3,0.86459,32.84874,1068,0,0,6.7,190,6.3
Kayunga,Nase 3,3,400,1,0.91211,32.86753,1051,0,0,10,123,4.1
Kayunga,Nase 3,4,10140,2,0.97603,32.88644,1061,0,0,10,312,10.4
Kayunga,Nase 3,4,2000,1,2.98283,32.92278,1078,2.5,6.7,3.3,222,7.4
Kayunga,Nase 3,4,2880,2,1.00496,32.89903,1054,0,0,13.3,39,1.3
Kayunga,Nase 14,3,5750,2,0.99112,32.92908,1050,0,0,0,111,3.7
Mukono,Njule Red,3,13200,2,0.47863,32.68277,1115,0,0,0,124,4.1
Mukono,Nase 14,3,12000,3,0.49593,32.72617,1150,2,6.7,0,65,2.2
Mukono,TME 14,4,1000,2,0.66307,32.86826,1069,2,100,0,145,4.8
Mukono,TME 14,4,7700,2,0.62769,32.82925,1090,2,100,0,124,4.1
Mukono,Local,3,12000,2,0.58409,32.84611,1118,2.2,100,10,64,2.1
Mukono,Local,4,140,2,0.58772,32.80921,1115,0,0,0,168,5.6
Mukono,Local,3,7600,2,0.56417,32.80173,1110,0,0,0,46,1.5
Mukono,TME 14,4,450,2,0.5124,32.76381,1156,2,100,0,61,2
Mukono,TME 14,3,750,2,0.56417,32.80173,1110,2,36.7,0,126,4.2
Mukono,0/0087,4,5000,2,0.44715,32.77076,1182,0,0,0,147,4.9
Mukono,Njule  ,3,200,3,0.32391,32.76547,1174,0,0,50,54,1.8
Mukono,Njule,3,2400,3,0.28959,32.76746,1194,2.1,66.7,36.7,60,2
Mukono,Local,4,31500,4,0.27977,32.79542,1175,3,16.7,50,44,1.5
Mukono,Local,5,6000,3,0.27442,32.75872,1151,2,3.3,46.7,76,2.5
Mukono,Njule,4,20000,2,0.25763,32.82244,1175,3.2,100,3.3,131,4.4
Mukono,Njule,3,1120,2,0.23724,32.94752,1202,0,0,0,67,2.2
Mukono,Local,4,5100,2,0.24499,32.87488,1170,2.8,63.3,20,52,1.7
Mukono,Local,4,1200,0,0.24338,32.91822,1217,2,60,0,64,2.1
Mukono,TME 14,4,300,2,0.24152,32.81983,1223,2.1,93.3,0,135,4.5
Mukono,Local,3,9200,3,0.19991,32.85902,1172,0,0,30,102,3.4
Adjumani,TME 14,6,2000,1,3.39163,31.78008,827,2,100,0,108,3.6
Adjumani,Nase 12,6,1000,0,3.53776,31.7261,789,2,16.7,0,85,2.8
Adjumani,Nase 12,6,1000,1,3.39612,31.68568,701,2,6.7,0,4,0.1
Adjumani,Nase 12,6,4000,1,3.30581,31.68941,745,2,6.7,0,15,0.5
Adjumani,Nase 12,6,2000,1,3.26314,31.64496,695,2,66.7,0,175,5.8
Adjumani,TME 14,6,2000,0,3.2341,31.58066,624,2,93.3,6.7,16,0.5
Adjumani,Omongole,6,4000,2,3.25673,31.72491,804,2,6.7,0,2,0.1
Adjumani,TME 14,6,6000,3,3.19301,31.74797,891,2,43.3,0,93,3.1
Adjumani,TME 14,5,8000,0,3.15344,31.73582,927,2,26.7,3.3,9,0.3
Adjumani,TME 204,6,1000,2,3.23418,31.78251,832,2.1,36.7,0,0,0
Adjumani,Nase 3,6,4000,2,3.46612,31.72595,632,0,0,6.7,40,1.3
Adjumani,TME 14,6,2000,0,3.45605,31.76879,728,2,16.7,0,24,0.8
Adjumani,TME 14,6,4000,2,3.35906,31.80094,801,2,96.7,0,5,0.2
Adjumani,TME 14,6,1500,0,3.35105,31.5877,758,2,6.7,0,0,0
Adjumani,TME 14,6,4000,1,3.30435,31.85076,782,2,76.7,0,0,0
Adjumani,TME 204,6,4000,3,3.6494,31.8821,738,2,93.3,0,29,1
Adjumani,TME 14,5,1000,0,3.44427,31.91215,664,2,26.7,0,0,0
Adjumani,TME 14,4,4000,6,3.48983,31.90202,642,2,93.3,100,4,0.1
Adjumani,TME 14,3,1000,0,3.50398,31.81193,638,2,6.7,0,52,1.7
Adjumani,TME 14,6,1200,2,3.38217,31.93067,705,2,16.7,0,11,0.4
Amuru,TME 204,6,1000,0,2.2812,32.18644,1111,0,0,0,0,0
Amuru,Okonyoledek,5,4000,1,2.83595,32.13439,1112,0,0,100,0,0
Amuru,TME 204,6,2000,0,2.18356,32.02315,1043,0,0,0,0,0
Amuru,TME 14,6,2000,2,2.81226,31.95288,1060,0,0,0,0,0
Amuru,Okonyoledek,5,1200,1,2.80447,31.85813,1096,0,0,100,0,0
Amuru,Okonyoledek,6,4000,0,2.84418,31.80473,1027,0,0,100,0,0
Amuru,Okonyoledek,6,400,1,2.86139,31.69528,999,0,0,96.7,0,0
Amuru,Nase 12,6,1000,2,2.88635,31.62786,954,0,0,0,0,0
Amuru,TME 14,6,2000,1,2.9001,31.96054,1093,0,0,0,0,0
Amuru,TME 14,5,1000,1,2.96096,31.99219,1100,0,0,0,0,0
Amuru,TME 14,5,4000,0,2.9637,32.0584,1046,0,0,0,0,0
Amuru,Nase 12,5,1000,1,2.88115,32.16205,1066,0,0,0,0,0
Amuru,TME 14,5,1000,0,2.98356,32.13932,1030,0,0,0,0,0
Amuru,TME 14,6,1500,1,3.05752,32.16752,1005,0,0,0,0,0
Amuru,Nase 12,3,2000,3,3.13839,32.15577,891,0,0,0,0,0
Amuru,Nase 13,5,2000,1,3.20656,32.14867,808,0,0,0,0,0
Amuru,TME 14,6,1000,3,3.27695,32.121,813,2,3.3,0,11,0.4
Amuru,TME 14,6,1000,0,3.30038,32.07875,764,2,6.7,0,0,0
Amuru,TME 14,5,1700,0,3.24192,32.1654,796,2,33.3,0,0,0
Amuru,TME 14,6,1500,1,3.27263,32.25375,830,0,0,0,0,0
Gulu,TME 14,5,2000,4,2.76231,32.39242,1113,0,0,0,6,0.2
Gulu,Okonyoledek,6,1000,1,2.69584,32.43094,1122,0,0,93.3,52,1.7
Gulu,TME 14,5,1100,1,2.64393,32.47467,1112,0,0,0,19,0.6
Gulu,TME 14,6,1000,0,2.64033,32.53688,1107,0,0,0,0,0
Gulu,TME 14,6,1000,0,2.65299,32.60614,1091,0,0,0,8,0.3
Gulu,TME 14,6,4000,1,2.75861,32.51881,1021,0,0,0,0,0
Gulu,Okonyoledek,5,1100,1,2.74961,32.42778,1083,0,0,100,11,0.4
Gulu,TME 14,6,3000,0,2.83554,32.37418,1092,0,0,0,0,0
Gulu,TME 14,5,4000,1,2.87897,32.4305,1055,0,0,0,0,0
Gulu,TME 14,5,41000,1,2.9144,32.50116,1018,0,0,0,0,0
Gulu,TME 1,6,1000,4,2.76611,32.24709,1100,2,100,0,276,9.2
Gulu,TME 14,5,1200,1,2.24524,32.3327,906,0,0,0,4,0.1
Gulu,TME 14,3,4000,0,3.1774,32.36045,1002,2,3.3,0,0,0
Gulu,TME 14,5,1000,0,3.10181,32.36353,1021,0,0,0,0,0
Gulu,TME 14,6,1500,1,2.97215,32.29914,1007,0,0,0,0,0
